CID,FIELD,GROUP,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,cl_dz_min_2am,frac_nir,n_spec_region,hr,hr_glob
1450127,X3,X,0.60009,42.74341,0.1856,1.0,35.542046,-4.469937,10.905,0.0680398680575016,0.059972812528271385,0.005567618683328784,0.0544051938449426,0.026645619360523495,-0.13597621920197972,0.6250000000000002,0.008067055529230219,0.005447833853198457,496,1.0,False,0.1757963614546682,0.8193849746983262,28317,0.017738154606021645,0.03192340186038378
1336953,X3,X,0.60013,42.70069,0.1976,0.99988,36.745945,-3.767008,8.81,0.009454405682289911,0.001386592816256537,-0.003131728827762391,0.004518321644018928,0.010914074726182462,-0.002858755418255282,0.6250000000000002,0.008067812866033374,0.005448252064748074,496,1.0,False,,0.0,28317,-0.025155134597710717,-0.01096988734334858
1292800,X3,X,0.60097,42.39938,0.2336,0.99415,36.789124,-3.663091,10.538,0.00460502018866547,-0.0034786967502341663,-0.0006080339798030035,-0.0028706627704311637,0.009041967858454451,0.007827383063369161,0.6250000000000002,0.008083716938899636,0.005457034507290027,496,1.0,False,,0.0,28317,-0.3301016788610697,-0.31591643160670757
1338233,X1,X,0.60148,42.9279,0.1846,0.99999,35.12249,-5.529042,11.211,0.0034072710860439804,-0.004686101897095887,-0.001157322003340384,-0.003528779893755503,0.006449362624428864,0.010504819708229744,0.6250000000000002,0.008093372983139868,0.005462366704547642,496,1.0,False,,0.5309926311226701,28317,0.19621277140555535,0.21039801865991747
1255545,X1,X,0.60182,42.56788,0.1367,1.0,35.219349,-4.341851,11.099,0.0031377260992750647,-0.004962084246691624,-0.001382798931555997,-0.0035792853151356266,0.0012014745277384817,0.011141018227956104,0.6250000000000002,0.008099810345966688,0.0054659215027193855,496,1.0,False,0.14057759298797615,0.9941151744430433,28317,-0.16527660950427517,-0.15109136224991304
1674022,X1,X,0.60262,42.53555,0.1635,1.0,35.21077,-4.301506,8.903,0.0014389900305543763,-0.006675967051475419,-0.002951070483485564,-0.003724896567989855,0.00520358085186959,0.014848212530318625,0.6250000000000002,0.008114957082029795,0.005474285733711723,496,1.0,False,0.14000823651271038,0.9833901192504259,28317,-0.201060871492473,-0.18687562423811088
1265260,X3,X,0.60311,42.50027,0.2708,0.9924,35.899445,-5.123434,11.025,0.003452547106151483,-0.004671687351716966,-0.001582677734811488,-0.0030890096169054783,0.00443772598018386,0.010490659327594114,0.6250000000000002,0.008124234457868449,0.00547940882519453,496,1.0,False,0.21176962279569084,0.9965770171149144,28317,-0.23845445865612916,-0.22426921140176703
1303314,X3,X,0.60491,42.96858,0.2724,0.99305,36.328171,-4.75399,10.654,0.007139933345788918,-0.0010183812682215201,-0.0033325532264826697,0.0023141719582611495,0.024548992640544085,0.001893108584612599,0.6250000000000002,0.008158314614010438,0.005498228344927287,496,1.0,False,0.10118324392021985,0.9517463235294118,28317,0.22210530802735193,0.23629055528171405
1864084,X3,X,0.60535,42.74226,0.144,1.0,35.890347,-5.236477,9.666,0.004964697390463509,-0.003201947928381641,-0.0006965877040041308,-0.00250536022437751,0.007930582333137091,0.007245471513729347,0.6250000000000002,0.00816664531884515,0.005502828671973074,496,1.0,False,,0.9950421417947447,28317,-0.006105863904196131,0.008079383350166006
1335585,X2,X,0.60557,42.89637,0.2197,0.99238,35.114723,-7.111349,10.329,0.002187024439976498,-0.0059837862312860065,-0.002761731224233837,-0.0032220550070521693,0.004617044834180681,0.013353269678287424,0.6250000000000002,0.008170810671262504,0.005505128835495967,496,1.0,False,,0.0,28317,0.14705903939340445,0.16124428664776658
1335564,X2,X,0.60619,42.81482,0.1525,0.99999,35.128166,-6.446539,9.483,0.007281820417851639,-0.0009007289738597732,0.00246903739029753,-0.003369766364157304,0.0023075736865788036,0.002279401821109431,0.6250000000000002,0.008182549391711412,0.005511611114515028,496,1.0,False,,0.0,28317,0.06284733760450208,0.07703258485886422
1306059,X3,X,0.60631,42.86798,0.1889,0.99994,36.37886,-4.752678,9.699,0.01947079416802664,0.011285972765905762,-0.0029566557747951723,0.014242628540700936,0.00536236851071006,-0.02461100478142355,0.6250000000000002,0.008184821402120878,0.005512865749163879,496,1.0,False,0.04769316009985623,0.9511415525114155,28317,0.11549246804217701,0.12967771529653915
1839117,X3,X,0.60674,42.72056,0.1509,0.99991,37.362453,-4.74271,10.477,0.015075516024364098,0.006882553251609302,0.009753534354066732,-0.0028709811024574304,0.012435379035465084,-0.014983830935882535,0.6250000000000002,0.008192962772754796,0.005517361523322259,496,0.675,True,,0.0,28317,-0.03377168712404469,-0.019586439869682556
