CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1347112,des:C,0.79318,9.111474253400481e-08,3.821428155797309e-07,3.86925575176549e-07,5.396048753488435e-07,1.6928319297790206e-07
1409129,des:C,0.79364,7.935956982443185e-08,6.51348590932701e-07,0.00015178585328442327,0.00012130875088776158,1.6948289177899123e-07
1271436,des:C,0.79511,2.3334992299873586e-06,6.214677271451859e-06,3.1220425251131065e-08,4.364792514841088e-08,1.7012184887399583e-07
1290176,des:C,0.7953,1.5528440222155455e-06,5.886317182027793e-06,2.0427998346232018e-07,2.203679182623684e-07,1.7020452289900813e-07
1303699,des:C,0.79547,1.0549087423318078e-05,1.3798504738428083e-05,7.215403524835357e-09,1.0372894898193285e-08,1.7027851141888697e-07
1325191,des:C,0.7981,3.346524056782214e-08,1.619229206444438e-07,2.1155486136159393e-07,3.163085539694031e-07,1.7142520576470467e-07
1551083,des:C,0.80301,1.3682921787978672e-06,1.6132315993242895e-05,3.3992918631413755e-08,4.525413745265918e-08,1.735762906733365e-07
1330970,des:C,0.80669,1.3734123581951344e-06,1.3777025177116465e-05,1.001041164526038e-08,1.4865860159667033e-08,1.7519730228558604e-07
1315974,des:C,0.81174,1.4773451077621684e-06,4.10863365432343e-06,4.3041325524999034e-07,4.843234777389252e-07,1.7743405173229934e-07
1293832,des:C,0.81325,3.878508106015448e-06,1.4154445405935786e-05,0.0001806528045583737,0.0003408104384912407,1.7810561737242912e-07
1252595,des:C,0.8133,4.64210692113033e-06,8.508304557596264e-06,1.0072484950557662e-06,3.4088685965975247e-06,1.781278763422936e-07
1339227,des:C,0.82081,1.8536241836926785e-07,1.1124158663595105e-06,6.809885256763198e-08,7.874119061924366e-08,1.8148696670585476e-07
1341271,des:C,0.82584,4.0270031414273595e-06,5.187997322724098e-06,3.253589589955731e-07,3.972496490017691e-07,1.838707646215301e-07
1336957,des:C,0.82961,1.2718591492575303e-07,9.858876439026152e-07,1.36755951070604e-08,9.927173926732435e-09,1.861053285668795e-07
1341227,des:C,0.83036,4.489163247321839e-08,2.2207768688177079e-07,8.108486462921075e-08,2.0222362245947525e-07,1.8655148000990156e-07
1936293,des:C,0.83168,3.473589126306342e-07,3.1854430078800938e-06,6.3269259833489e-08,2.1309694390056252e-07,1.873380038706372e-07
1411114,des:C,0.83706,2.8818859244162034e-07,1.6211684222915604e-06,2.4334135958619362e-06,3.930836277346646e-06,1.905607987984664e-07
1581017,des:C,0.83813,5.713876822021764e-09,4.689919408098448e-08,4.576402377648001e-08,9.842527408347774e-08,1.9120504036430512e-07
1826039,des:C,0.83916,1.9488268912025252e-07,2.290830276287959e-06,4.2498253306870315e-08,8.138909706421689e-08,1.9182622510787503e-07
1946246,des:C,0.83936,5.202847884819271e-07,2.069316643087899e-06,6.656317606153611e-08,4.9712457239815587e-08,1.9194696030345776e-07
1253972,des:C,0.84019,5.756212660669244e-06,2.4343707422257706e-05,4.415779974452775e-07,4.5605566000825677e-07,1.9244841726460966e-07
1257646,des:C,0.84094,1.317616786877159e-07,1.238209439447549e-06,1.6928008026786032e-07,1.6432501393437235e-07,1.9290210365292586e-07
1872097,des:C,0.84132,1.4994649589552301e-06,6.558221941713467e-06,4.6580454840545565e-08,3.897815900561932e-08,1.9313217529858767e-07
1322975,des:C,0.84634,1.0262703470498461e-06,3.9326865778857e-06,3.4244897953863236e-06,4.137449248369989e-06,1.9618441348328642e-07
1508029,des:C,0.85279,8.001306736592255e-07,4.109597726761158e-06,1.5830522701779347e-05,1.88159817136861e-05,2.0014123974660198e-07
1250858,des:C,0.85707,1.425097286034704e-06,2.049612857298321e-06,3.911315401659421e-06,3.605414101887354e-06,2.0278865922031254e-07
1912270,des:C,0.86642,5.59000554632374e-08,2.254523946929697e-07,2.0357699480878245e-07,2.505406488837594e-07,2.0863266506944502e-07
1302199,des:C,0.87001,6.329296497502142e-08,2.3377356576082953e-07,6.377453599582218e-06,3.8547589130101625e-05,2.1089856956604587e-07
