ls_id,ra,dec,z_best,z_is_spec,sig_z,engine,logm_p16,logm_p50,logm_p84,sig_m_photz,sig_m_total,kappa_max,kappa_sum,n_sn,survey_region
10995297649954461,52.28109414045072,-28.46908389017721,0.2994116544723511,False,0.1482693254947662,sbi_zfix,8.988199927353874,9.34895298674108,9.480301596665397,0.5755,0.6259,4.570098952622104e-05,4.570098952622104e-05,1,des:C
10995435681359578,36.50200391600282,-4.440312707121322,0.1388842463493347,False,0.0240914467722177,sbi_zfix,9.611867109247125,9.746503034540094,9.874164739557184,0.0935,0.1611,4.569844444080969e-05,4.569844444080969e-05,1,des:X
10995223243002370,9.749563762436969,-43.70723107583352,0.2391593307256698,False,0.0208142101764678,sbi_zfix,10.676972781322352,10.857650195262782,10.975893412731043,0.0808,0.1699,4.5637296026398974e-05,4.5637296026398974e-05,1,des:E
10995298982712566,53.27114476770151,-28.27669767177492,0.283534288406372,False,0.04600715264678,sbi_zfix,10.550130341243609,10.662545578670366,10.764338867854937,0.1786,0.2082,4.5600118530909585e-05,4.5600118530909585e-05,1,des:C
10995473892521518,150.1929384212363,1.752393346233623,0.2651292260980181,True,0.0,sbi_zfix,10.818190814307352,11.049757586768289,11.14550267343821,0.0,0.1637,4.5530337008543514e-05,6.003743879897248e-05,3,union3:21
10995432660406586,34.17613379158031,-4.958791856694617,0.4246165752410888,False,0.1247311905026435,sbi_zfix,9.20372852422075,9.552155343068407,9.814766732228563,0.1889,0.3592,4.549692530143642e-05,4.549692530143642e-05,1,des:X
10995302991402771,53.53269290309887,-27.60924829573626,0.0818129926919937,False,0.0371420979499816,sbi_zfix,9.147564002422602,9.348273345379145,9.526322432903559,0.1442,0.238,4.542807550364716e-05,4.542807550364716e-05,1,des:C
10995428148386642,34.54335712396141,-5.629695455878767,0.5654407055175179,True,0.0,sbi_zfix,11.361311332712898,11.460741836558112,11.525732833872565,0.0,0.0822,4.539451793575683e-05,4.539451793575683e-05,1,des:X
10995435679263586,36.0073830128313,-4.415745766239055,0.3976051807403564,False,0.076231874525547,sbi_zfix,10.388300352450225,10.577249937411162,10.724150114413115,0.1155,0.2038,4.53838741598113e-05,4.53838741598113e-05,1,des:X
10995435682402031,36.65732465692621,-4.438889489634792,0.2421501576900482,False,0.0350571796298027,sbi_zfix,9.86078580667963,10.320227945351505,10.461742761635684,0.1361,0.3298,4.5361307868346446e-05,4.5361307868346446e-05,1,union3:5
10995435675063012,34.936598902871,-4.59279140717843,0.3608115201812038,True,0.0,sbi_zfix,11.06083076357599,11.151900938746888,11.23495071291681,0.0,0.0871,4.536074689074581e-05,4.536074689074581e-05,1,des:X
10995296322466950,52.06456240295503,-28.85849728513784,0.0776937305927276,False,0.0160900931805372,sbi_zfix,9.630927460737185,9.811135190076785,9.96323336894031,0.0624,0.1775,4.5344629031034954e-05,4.5344629031034954e-05,1,des:C
10995432660402955,34.1067136593965,-5.060454337438297,0.1443143353554757,True,0.0,sbi_zfix,9.42990646708791,9.814729312546895,9.92374477732961,0.0,0.2469,4.526107721139373e-05,8.742214682526495e-05,2,des:X
10995473892520893,150.1851094120501,1.85673543862096,0.1681142703393372,True,0.0,sbi_zfix,10.548794747563763,10.665081025334759,10.800758362981243,0.0,0.126,4.520182666241307e-05,4.520182666241307e-05,1,union3:21
10995437183977919,35.79119439578472,-4.198604674705331,0.8259248733520508,False,0.1108013167977333,sbi_zfix,9.995829618449864,10.155036008830724,10.520952260966954,0.1229,0.2899,4.5176885472556446e-05,4.5176885472556446e-05,1,des:X
10995301652371679,53.40095961139445,-27.80618689800866,0.7209136486053467,False,0.0278330817818641,sbi_zfix,11.303138623477412,11.419375310183955,11.53106297040124,0.0309,0.1181,4.5119705588396446e-05,4.5119705588396446e-05,1,des:C
10995300317538207,53.94649806401948,-28.01597497430138,0.6785269975662231,False,0.0496387891471385,sbi_zfix,10.761847939408781,10.985393967545988,11.149417366899016,0.055,0.2014,4.5075839811429584e-05,4.5075839811429584e-05,1,des:C
10995298981653947,52.86992689799772,-28.28361714074789,0.2028810083866119,False,0.0141455326229333,sbi_zfix,10.968830476957246,11.082408319669648,11.155511270719453,0.0549,0.1083,4.505451834958791e-05,4.505451834958791e-05,1,des:C
10995301649239427,52.73370210091539,-27.77037813808235,0.5750589370727539,False,0.0350677967071533,sbi_zfix,10.539625960109358,10.636695700404768,10.89174540591014,0.0389,0.1803,4.502501738818919e-05,4.502501738818919e-05,1,des:C
10995431165137695,36.6694634729117,-5.343082099884604,0.1817711739608014,True,0.0,sbi_zfix,9.47449733978917,9.831594011847276,10.173933527533311,0.0,0.3497,4.495369169343985e-05,4.495369169343985e-05,1,des:X
10995221065114066,8.893495564811252,-44.29583447235628,0.3331225216388702,False,0.1478091478347778,sbi_zfix,9.544090586577774,9.889973002349258,10.129097300444961,0.2239,0.3683,4.489063607629357e-05,4.489063607629357e-05,1,des:E
10995298980613022,52.71949959282369,-28.22253125193427,0.2377234101295471,False,0.0936746224761009,sbi_zfix,8.450534669811224,9.18548664277265,9.429584352428412,0.3636,0.6098,4.487047536011342e-05,4.487047536011342e-05,1,des:C
10995434166167111,34.2979230552601,-4.86395259137991,0.2127994105585044,True,0.0,sbi_zfix,10.006142787450043,10.26171331357309,10.402448939793793,0.0,0.1982,4.485696405389875e-05,4.485696405389875e-05,1,des:X
10995296322464983,52.03589040730691,-28.86394710793479,0.0751906186342239,False,0.0094143515452742,sbi_zfix,10.156849853782141,10.383851043967688,10.535099975852454,0.0365,0.1926,4.4826031218932496e-05,4.4826031218932496e-05,1,des:C
10995219986132914,9.36959358587097,-44.56626620300538,0.1042846068739891,False,0.0421086102724075,sbi_zfix,8.866285390662002,9.143365011023329,9.351497754858778,0.1634,0.2925,4.479306822050781e-05,4.479306822050781e-05,1,des:E
10995476910322571,149.6711769359856,2.187577918913602,0.2830876628045389,True,0.0,sbi_zfix,10.242173515564852,10.516629539734774,10.649491630799227,0.0,0.2037,4.472468536408629e-05,4.472468536408629e-05,1,union3:21
10995301648184730,52.37323982016306,-27.72536236176618,0.3351064920425415,False,0.046502161771059,sbi_zfix,10.564807607965383,10.851789190606985,10.995963766412649,0.0704,0.2268,4.4714592726839106e-05,4.4714592726839106e-05,1,des:C
10995295003353421,53.19363234739945,-28.98586033978859,0.0559225045144557,False,0.0122994594275951,sbi_zfix,10.180406249026706,10.331476843814304,10.449825919131687,0.0477,0.1429,4.467196713282725e-05,4.467196713282725e-05,1,des:C
10995434176643417,36.60262555927772,-4.803468714602309,0.1879836916923523,False,0.0317450389266014,sbi_zfix,10.935509246740422,11.069978774938663,11.199475349340519,0.1232,0.1806,4.465526074732195e-05,6.0949174956255635e-05,2,union3:5
10995302989312910,53.04456394992518,-27.55320408810073,0.4308636486530304,False,0.1087526232004165,sbi_zfix,9.123026536272574,9.380351231859732,9.60894458131652,0.1647,0.2935,4.463379284988008e-05,4.463379284988008e-05,1,des:C
10995437182911581,35.32313554425068,-4.369325645756182,0.0432528471142476,True,0.0,sbi_zfix,10.59334282257389,10.77652267792057,10.937491458438148,0.0,0.1721,4.46201936463711e-05,6.752541639753416e-05,2,des:X
10995435679268413,36.06974506603131,-4.430297392680226,0.4455421864986419,False,0.0277744457125663,sbi_zfix,10.519304193604547,10.705812372315485,10.812185205567438,0.0421,0.1524,4.46123975172693e-05,4.46123975172693e-05,1,des:X
10995298981653271,52.86081071176967,-28.34415119711036,0.2906549274921417,False,0.0962750762701034,sbi_zfix,9.638131327889948,9.875190921090631,10.035844989083795,0.3737,0.4233,4.458545565575174e-05,4.458545565575174e-05,1,des:C
10995432659358142,33.93294004011933,-5.121198146235742,0.0983486094520864,True,0.0,sbi_zfix,10.791704071579113,10.972185028610363,11.102383507309094,0.0,0.1553,4.4551310927468974e-05,4.4551310927468974e-05,1,des:X
10995434173515024,36.07833066605123,-4.853702925754936,0.4320254325866699,False,0.0367924235761165,sbi_zfix,10.772331659420818,10.898425523861736,10.986209337338298,0.0557,0.1206,4.452950633738944e-05,4.452950633738944e-05,1,des:X
10995302991405576,53.58818687528161,-27.56148332364006,0.1280248165130615,False,0.1177034527063369,sbi_zfix,8.365892570123574,8.642771880731484,8.834221046075722,0.4568,0.5133,4.451435489681128e-05,4.451435489681128e-05,1,union3:4
10995304336720455,54.20435656325436,-27.32737755011636,0.1560354977846145,False,0.0190807078033685,sbi_zfix,10.717796776830633,10.898221467077216,11.073552582799872,0.0741,0.1927,4.44768748515753e-05,4.44768748515753e-05,1,des:C
10995437181870419,35.2307978178839,-4.333110004422188,0.0823187157511711,False,0.0646303817629814,sbi_zfix,7.588849689516287,8.172301437410574,8.382646705660086,0.2508,0.4695,4.444438424150115e-05,4.444438424150115e-05,1,des:X
10995437183963726,35.60381119194017,-4.238907000097896,0.2565528516962239,True,0.0,sbi_zfix,10.438793642695574,10.530926211054949,10.613960726435808,0.0,0.0876,4.439944924854478e-05,4.439944924854478e-05,1,des:X
10995296328754771,53.74192599617143,-28.71553592466162,0.1237413063645362,False,0.0137324659153819,sbi_zfix,10.306781938707188,10.441233118211581,10.54653497520621,0.0533,0.1312,4.4344144968375745e-05,4.4344144968375745e-05,1,des:C
10995429652039329,34.42267345715425,-5.390926353180915,0.2548502377594965,True,0.0,sbi_zfix,11.10276975758732,11.234840298969155,11.318081761676675,0.0,0.1077,4.4311658322330144e-05,4.4311658322330144e-05,1,des:X
10995432671945130,36.97749579406555,-5.032949345857295,0.576937735080719,False,0.0203125365078449,sbi_zfix,11.053994288519627,11.207196345404393,11.308187594488865,0.0225,0.1291,4.430984681411504e-05,4.430984681411504e-05,1,des:X
