CID,FIELD,GROUP,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,cl_dz_min_2am,frac_nir,n_spec_region,hr,hr_glob
1316853,X1,X,0.69304,43.0704,0.1133,0.99941,34.174179,-5.50463,9.273,0.008783122902646047,-0.001238371775256106,0.0032816730664493587,-0.004520044841705465,0.015127303618613018,0.0028722245958939657,0.6750000000000002,0.010021494677902153,0.006782504353446549,496,1.0,False,,0.9373024236037935,28317,-0.025804298745895494,-0.018579564682077623
1370181,X3,X,0.6931,43.15907,0.188,0.99655,36.487965,-4.067012,10.376,0.008658548221476874,-0.0013642410113926424,0.0003485848263847088,-0.0017128258377773512,0.010600903020930795,0.003238223804779807,0.6750000000000002,0.010022789232869516,0.006783373792636344,496,1.0,False,0.0021853404996751737,0.7731462925851703,28317,0.06263912117094697,0.06986385523476484
1260105,X1,X,0.6941,43.14792,0.1349,0.99999,34.811512,-4.988864,10.857,0.002377629577736703,-0.0076667355712554935,-0.0032948343734928187,-0.004371901197762675,0.0025857060641290173,0.017176750661531556,0.6750000000000002,0.010044365148992197,0.006797864445799592,496,1.0,False,,0.922875131164743,28317,0.04771555218874914,0.054940286252567014
1299190,X3,X,0.69836,43.12605,0.1845,0.99999,35.787395,-4.655465,9.63,0.0020723981848373638,-0.008063880366837459,-0.0033485934791982024,-0.004715286887639255,0.004060889677335421,0.018033674701881552,0.6750000000000002,0.010136278551674822,0.006859594628275031,496,1.0,False,,0.9516760992599043,28317,0.009828333906946284,0.017053067970764155
1373123,X1,X,0.69879,43.33194,0.1436,0.99999,34.434067,-4.694887,10.108,0.002178637170044669,-0.007966919025562905,-0.0033509837240550096,-0.004615935301507897,0.005761080799284047,0.01780188904232459,0.6750000000000002,0.010145556195607575,0.006865825609135229,496,1.0,False,,0.9483480688692415,28317,0.21410678238629635,0.22133151645011423
1279714,X3,X,0.69938,43.57289,0.2763,0.99851,36.509575,-4.627358,10.674,0.004233085456810098,-0.00592520052930986,-0.0030344941781392217,-0.002890706351170638,0.007005600271937673,0.013342701615846416,0.6750000000000002,0.010158285986119958,0.006874375094501545,496,1.0,False,,0.9683571738188123,28317,0.45284713110837155,0.4600718651721894
1250950,X3,X,0.70099,43.05299,0.1768,1.0,36.955425,-4.624798,9.974,0.0022686766236111005,-0.007924346587466373,-0.00475891099772171,-0.0031654355897446644,0.008014311415540643,0.017694897028200065,0.7250000000000002,0.010193023211077474,0.006897705046094375,496,1.0,False,0.2176438427033668,0.8826025459688827,28317,-0.09687145586938173,-0.06584877563014375
1307261,X3,X,0.70351,42.91779,0.1562,0.99977,36.624588,-4.003195,10.77,0.025369191584557235,0.015121797064850602,0.007837656502111006,0.007284140562739598,0.014826224819475018,-0.03321659894559467,0.7250000000000002,0.010247394519706634,0.0069342214920657605,496,1.0,False,,0.5436428856117975,28317,-0.24146848364679685,-0.21044580340755886
1314296,X3,X,0.70426,43.20803,0.1571,1.0,36.887188,-5.107927,10.457,0.005829304718980601,-0.0044342717378180446,-0.004895585216103098,0.0004613134782850536,0.010653517331816709,0.010030523801717262,0.7250000000000002,0.010263576456798646,0.006945089481938198,496,1.0,False,0.12306807646720572,0.9305108145421077,28317,0.04598101899206752,0.0770036992313055
1559051,X3,X,0.7051,43.09978,0.1592,1.0,36.109875,-4.250706,10.808,0.024504804643184466,0.014223104416842769,-0.0021761285592254162,0.016399232976068184,0.03780368913088843,-0.032554252452560266,0.7250000000000002,0.010281700226341697,0.006957261630595325,496,1.0,False,0.19793560494985635,0.91553480475382,28317,-0.06539095384579086,-0.03436827360655288
