CID,GROUP,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1901115,X,0.29874,1.844621110159197e-07,2.66656119146375e-07,4.8508879146225355e-09,3.440029064803305e-09,5.001409484132778e-09
1293275,X,0.30179,1.8077815063654032e-08,3.5321556763895023e-08,1.5093955838058155e-08,1.9263943447983045e-08,5.217621888992711e-09
1321006,X,0.30244,3.317144203796667e-08,1.1127054503544517e-07,1.2378444628357706e-05,1.252388891508592e-05,5.26429134817964e-09
1339002,X,0.30251,4.856201296709181e-07,3.3855453890896024e-06,7.530200451014005e-10,5.808837185927564e-10,5.269329683637164e-09
1334654,X,0.30259,4.6511446613870785e-08,1.882526869814544e-07,1.9755316109446043e-09,4.869502155097553e-09,5.275090732184535e-09
1659022,X,0.30317,7.660405852482312e-10,6.304922893000032e-09,6.890864337793925e-10,7.807067076416178e-10,5.316952467247125e-09
1259412,X,0.30477,4.3277717333819355e-08,1.423219872090157e-07,1.4586644591428873e-07,1.302936009443409e-07,5.433290838379035e-09
1849051,X,0.30546,1.9549427424720077e-05,4.1891324485557506e-05,1.9067034085720887e-09,2.187333191748861e-09,5.483850318158011e-09
1368131,X,0.30694,6.7407203339597255e-09,2.866655807754956e-08,1.3844320449709893e-07,2.6136709614222484e-07,5.593086492615952e-09
1777124,X,0.30743,5.172528924168841e-09,3.8239754399797154e-08,1.0177201664593605e-07,9.238000118326553e-08,5.629489897117586e-09
1292767,X,0.30893,8.148038815803216e-11,1.3536051390896351e-09,2.1538151938367963e-08,1.0709894525853168e-08,5.741662922086497e-09
1650024,X,0.30994,3.0333605723895e-07,7.829627448666814e-07,5.886787587247333e-11,4.628321052426633e-11,5.817816157056633e-09
1848053,X,0.31016,7.300655246811413e-07,3.0960352348056196e-06,2.622601002258542e-08,2.2413833351360676e-08,5.834470532778699e-09
1300516,X,0.31042,5.6408164906469835e-08,9.773931042768882e-08,1.0845196677665371e-10,1.3248332582979995e-10,5.854183665973226e-09
1321338,X,0.31048,3.624817386410588e-09,1.1289536313046256e-08,8.007833374823658e-10,2.129012032952092e-09,5.858737571966109e-09
1264434,X,0.31075,2.729006593905498e-07,1.451532811238433e-06,1.819350449904617e-07,1.825073707916703e-07,5.8792520592236124e-09
1337838,X,0.31194,1.1100219624756277e-07,3.314842189008671e-07,7.582219908644584e-09,2.811981073036728e-09,5.9700950006766846e-09
1294743,X,0.31257,4.580799272713578e-06,1.2717502135132936e-05,3.0542740239520963e-09,1.8292464817450902e-09,6.018470279282193e-09
1662023,X,0.31268,9.617903508083761e-08,1.2709054296175286e-07,9.113387491218232e-09,2.6603117207767918e-09,6.0269367733072486e-09
1321365,X,0.3127,4.573069788912333e-07,6.712402058284483e-07,3.300636374684889e-07,4.138194080594407e-07,6.028476775215018e-09
1283878,X,0.31286,2.291302632554267e-07,3.820535557122077e-07,2.5814859857265375e-06,2.512119721062825e-06,6.040803872588277e-09
1341894,X,0.31293,3.187328509024695e-05,7.445560920385309e-05,4.612337699347989e-07,1.669513403483234e-07,6.046200936787996e-09
1913214,X,0.31615,1.2644966351622252e-08,2.2918126782149543e-08,2.8661207283488054e-09,3.2913629235848824e-09,6.297070976704983e-09
1345553,X,0.31794,1.6254830471464655e-06,2.893517862141202e-06,3.170807893424952e-07,5.465001318234866e-07,6.438735054701831e-09
1259615,X,0.32008,1.9852273467924014e-06,4.750802049676326e-06,3.601728072722717e-07,3.896259343033294e-07,6.610166937556642e-09
1293366,X,0.3204,1.29675683540656e-07,2.67937259204191e-07,1.1809999569642281e-07,1.198370618983861e-07,6.635995189408718e-09
1566028,X,0.32059,0.0001108939829179,0.0003576679326013,1.7853371976862374e-09,2.3246882658654983e-09,6.651354542307958e-09
1246527,X,0.32078,5.099048386217659e-08,1.5378477539143068e-07,7.80583846727229e-08,2.9683117897834747e-08,6.6667316496732925e-09
1261579,X,0.32214,2.959013116970005e-09,9.782691635501664e-09,8.678143029560579e-08,2.097865382427161e-07,6.777317736944265e-09
1310396,X,0.3225,3.6435997786704142e-09,2.548685312260661e-08,1.1213438125923412e-08,9.75981280487504e-09,6.80674279020042e-09
1891147,X,0.32274,2.09427730523475e-06,2.712413934193264e-06,1.791310981047075e-07,3.478396401799804e-07,6.826394902940439e-09
1340700,X,0.3255,2.4315916589102472e-08,4.4473942953081293e-08,3.582649338699039e-09,2.155730290734927e-09,7.058158101115068e-09
1305626,X,0.32572,2.624558026845467e-06,1.002159545660818e-05,1.4045488009303157e-07,1.1961875030905596e-07,7.078143565586066e-09
1314071,X,0.32707,3.8565800733499045e-09,1.4920384863809306e-08,5.93573328879585e-06,6.5748648402010245e-06,7.20140030150173e-09
1259511,X,0.3271,6.785784611029974e-10,1.7950826070475306e-09,1.5527914594642313e-06,5.76444959424141e-06,7.2041514242771494e-09
1306073,X,0.32858,1.0306466425736316e-06,1.3104696058122948e-06,2.12740166403202e-08,1.7849389421463912e-08,7.34052579446368e-09
1266808,X,0.3293,1.8017175704421507e-07,5.665202091470815e-07,7.161190991317089e-09,8.163962803454772e-09,7.407332434645445e-09
1301933,X,0.32959,1.227153856012356e-06,3.189243070395308e-06,1.3793434568643402e-07,1.299990463992367e-07,7.434326158970195e-09
1338675,X,0.33047,1.4026031864336038e-07,4.4074786508163805e-06,7.031012812045903e-07,7.988101894666898e-07,7.516538678816267e-09
1321276,X,0.33121,2.1452873409947896e-06,3.046842047086734e-06,5.583121493588821e-07,9.685452810452186e-07,7.586021850527497e-09
1260241,X,0.33336,6.764782701293203e-08,1.2958217588190289e-07,4.5107062201666224e-08,2.8703548095387178e-08,7.789712284746581e-09
1295024,X,0.33386,8.022536908021903e-06,1.7373658669265903e-05,1.3193532014530497e-07,1.146747456821608e-07,7.837468905932817e-09
1480038,X,0.33423,8.320870109994064e-06,7.585439894211e-06,2.3633110071787648e-09,1.5415537120039866e-09,7.872902764640799e-09
1531112,X,0.3347,2.0759818251593455e-07,4.903360936823482e-07,6.136180914682644e-09,1.065962455709832e-08,7.918028579647131e-09
1929216,X,0.33584,1.1905784590922268e-05,1.596149183718532e-05,3.446465352268544e-08,3.5027468488961915e-08,8.028018416978228e-09
1314897,X,0.33662,1.5667163047920546e-10,1.3562653791701416e-08,8.90302316228758e-08,1.5029988059214104e-07,8.103711754250528e-09
1368530,X,0.34224,3.502842494546814e-09,3.390725292583573e-08,1.832680376996407e-10,2.6149331126759825e-10,8.659590612741036e-09
1876421,X,0.34313,4.810781380566668e-07,1.3140095133807247e-06,1.0847954249311589e-06,5.508270432880866e-06,8.749312425443204e-09
1531108,X,0.34387,1.6049114047011936e-07,8.241884508690228e-07,2.0763234666947817e-08,2.776256253813724e-08,8.8242646606847e-09
1776135,X,0.3441,5.432221274019589e-06,1.0507786749908832e-05,1.4791068731755155e-05,4.952819387920888e-05,8.847625746100811e-09
1323106,X,0.34417,4.254995721555165e-08,3.20920580891424e-07,2.7124877655546532e-08,6.686450373883953e-08,8.854741771328305e-09
1948484,X,0.34436,5.1486802118876746e-08,1.943380116315638e-07,1.9763033108483055e-09,1.693731561327458e-09,8.874071116257692e-09
1329312,X,0.34478,1.9424761346391503e-09,1.0971790513540176e-08,1.028848001916942e-06,1.2449221155955472e-06,8.916873923820379e-09
1292823,X,0.34565,5.55043414011153e-07,1.8716602133189689e-06,3.236298376308751e-07,4.632484926267371e-07,9.005864469231716e-09
1770442,X,0.34578,3.853644586028307e-07,5.634962064773961e-07,7.470737995857802e-08,8.199495337621097e-08,9.019199852606384e-09
1254356,X,0.35129,3.3671092077492572e-09,1.0938255084091224e-08,1.815791816544145e-06,4.393182501971208e-06,9.593485803457016e-09
1261503,X,0.35211,8.154834793449219e-11,3.7860267528254684e-10,1.6760736504141771e-06,3.0038228810257255e-06,9.680466304679706e-09
1256765,X,0.35267,3.1020584830379065e-08,1.950352570033612e-07,1.2562932092126736e-06,1.0225664962148e-06,9.740093194313585e-09
1935471,X,0.35433,5.1337975175407144e-08,6.145957759525731e-08,2.9550113338232855e-08,2.092574023970113e-08,9.917920000333798e-09
1260113,X,0.35469,7.14854775650226e-10,3.0607195899421083e-09,1.1198966087452442e-08,5.024106229489578e-09,9.95669711142392e-09
1251552,X,0.35484,4.402997077367369e-07,6.691264769352746e-07,1.3611863890108431e-06,2.6181716447517953e-06,9.972876570543974e-09
1331836,X,0.35667,1.874353414006115e-10,5.838351197936763e-09,1.5094697190956604e-10,2.4891549119971084e-10,1.017132360197097e-08
1265281,X,0.36021,1.298272013739194e-09,9.021749953510761e-09,3.4100353277822854e-10,4.707817373847448e-10,1.0560753493924666e-08
