CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
560027,0.43891,1.0691241416874337e-07,1.3404693661333424e-07,6.83782521103167e-08,7.711497857071743e-08,2.349852861796379e-08
1291080,0.44391,6.991508615617983e-08,2.2055651083750447e-07,7.196031468626554e-05,0.0001633926421903,2.42355068343992e-08
1339149,0.46887,2.566904653035476e-07,5.12775426932425e-07,6.038203190289756e-08,2.4657213553417495e-07,2.808468792977043e-08
05D1ix,0.48888,1.1711322535645332e-06,4.016048370093725e-06,2.5180223565678193e-09,4.335735955596401e-09,3.176245391986293e-08
1305504,0.49566,1.7631225140115776e-08,9.123017452794096e-07,6.425739288250606e-07,5.858583321404078e-07,3.3119218775173845e-08
03D1ax,0.49579,1.1995056210815852e-07,8.500293292151865e-07,3.2096558000318102e-09,6.041873456013157e-09,3.3145510687400364e-08
1337272,0.50282,7.736239154129831e-07,2.077308173103578e-06,6.191368060042474e-09,3.9133020506527964e-09,3.4582831485573285e-08
03D1au,0.50316,2.026126684111712e-07,1.7893896414941812e-06,4.653741722887297e-09,5.8644457847865184e-09,3.4653119667158474e-08
04D1pg,0.51387,1.029810159575563e-07,8.419353682739294e-07,2.177493421548964e-05,2.8017977973702356e-05,3.690372295557218e-08
1334470,0.51883,3.252915951633644e-07,7.67697909964668e-06,1.310998541460195e-07,1.7510797727546047e-07,3.7970007259539465e-08
310260,0.51885,3.3720221326316374e-08,4.66908075502938e-07,1.6343401552554838e-05,2.6025495465510663e-05,3.7974337533072964e-08
1322229,0.5262,7.318595674250096e-06,1.1122212702681565e-05,2.6117518142812052e-08,2.8870508007466684e-08,3.954084717754276e-08
05D1ee,0.55782,4.5134595812336056e-08,3.064191284089486e-07,2.976833817523422e-09,2.360519654914658e-09,4.565092087171762e-08
05D1kl,0.55882,2.827301122170671e-07,3.064306674409636e-06,2.3831659144164456e-06,3.463325428680543e-06,4.5851313224784136e-08
04D1hx,0.55882,1.3970737685108862e-08,3.3369832403832373e-06,1.753658555143324e-07,8.852251861524695e-08,4.5851313224784136e-08
1303952,0.56269,7.434814593845637e-08,2.8069077678859584e-07,5.163301428774679e-07,6.828992407157113e-07,4.663096725512197e-08
05D1cc,0.56283,6.741989161963775e-07,1.8421793294361769e-06,5.551182621011998e-07,5.510532444405729e-07,4.6659294983140576e-08
1338278,0.56437,3.7887053899478345e-09,5.4025385248246917e-08,5.393537664721424e-07,2.2562844547273472e-06,4.6971467707316614e-08
05D1dn,0.56481,2.57923043487226e-06,1.3374531722143743e-05,9.63196627038362e-05,0.0002363914012704,4.7060851083892534e-08
05D1dx,0.57882,2.060618848863746e-07,7.138593703742996e-07,3.3540081065022845e-08,3.434739707964308e-08,5.0097469607335146e-08
03D1aw,0.5808,8.239358181271359e-07,1.149701958664311e-05,1.6400235534617315e-08,1.3394738885082682e-08,5.058967638689943e-08
04D1jg,0.58301,6.111424026235142e-09,4.3726883062660676e-08,2.9886206020747386e-07,3.365164384283399e-07,5.1141900345450294e-08
04D1kj,0.58382,1.4264563529118533e-07,6.143872395032991e-07,4.778659136015782e-06,2.5104998293109543e-05,5.1345049852730766e-08
04D1sa,0.58382,3.8566080480686885e-08,1.5213706476745285e-07,2.2104262977674617e-05,3.378489490321103e-05,5.1345049852730766e-08
05D1hm,0.58582,2.976892595506503e-09,1.5508229366613372e-08,5.978754170005906e-07,5.429227171232187e-07,5.184837821929478e-08
04D1oh,0.58879,4.217734308974253e-07,4.632030919136168e-06,5.098512377046239e-07,4.699245455207091e-07,5.2600350614239647e-08
1338233,0.60155,3.89798053981947e-07,2.270697241138757e-06,1.0766775237669807e-07,1.3310348231427868e-07,5.5892641447710095e-08
1335564,0.60626,1.2768445793249007e-05,9.402200752799742e-06,6.343686482493622e-08,5.725552392238474e-08,5.7133150189661696e-08
1332413,0.60878,1.01734792433309e-07,2.8538639772627744e-07,8.391540772371423e-06,2.4664457939897953e-05,5.7802453036958316e-08
1295305,0.61177,1.0071910272253023e-06,8.962324352228268e-06,5.203540158052322e-07,7.891310139998521e-07,5.8601641933803974e-08
