CID,sample,row_index,region,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,clipped,cluster_targeted,cluster_tier_ok,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,frac_nir,hr
05D1cb,SNLS,1591,12,0.63077,23.4102,0.201051,1.0,36.7377,-4.1176,,False,False,True,0.010938839050827797,0.0023572005147198156,-0.0035673358994475547,0.005924536414167372,0.017280071466661866,-0.0051727798585340865,0.6250000000000002,0.008581638536107982,0.005626222297258959,493,1.0,False,0.8954602249062891,-0.049331177695767975
1330642,DES,1594,12,0.63399,23.3442,0.145119,1.0,37.0406,-4.0471,,False,False,True,0.007459019845921445,-0.0011894289490748215,2.4913079356566996e-05,-0.0012143420284313894,0.009700089649691013,0.002829419830554368,0.6250000000000002,0.008648448794996266,0.00567560757070109,493,1.0,False,0.643621766280107,-0.12859023794972488
04D1pu,SNLS,1595,12,0.63777,23.2768,0.442055,1.0,36.8686,-4.7449,,False,False,True,0.0027874084284630384,-0.005939469800880345,-0.004076172030183658,-0.0018632977706966873,0.01525049177801091,0.013051218297215932,0.6250000000000002,0.008726878229343383,0.005733581587350547,493,1.0,False,0.9163346613545816,-0.21147360292877168
1337325,DES,1598,12,0.63873,23.5274,0.26025,1.0,35.135,-4.6525,,False,False,True,0.009843079317737567,0.001096282501893326,-0.0032205659999080885,0.0043168485018014145,0.015927204372639638,-0.0023501357886392647,0.6250000000000002,0.00874679681584424,0.005748305147134538,493,1.0,False,0.9888705688375927,0.035208040162265336
1338266,DES,1605,12,0.64852,23.7867,0.271027,1.0,34.905,-5.8691,,False,False,True,0.007531698763659721,-0.0014182261374380374,0.0003451125151731722,-0.00176333865261121,0.007870397368857559,0.003375196827062204,0.6250000000000002,0.008949924901097759,0.005898454782848347,493,1.0,False,0.0,0.2548665020252815
04D1sk,SNLS,1608,12,0.66213,23.7263,0.278466,1.0,36.0949,-4.3536,,False,False,True,0.006601821212355096,-0.0026304911494475017,0.0005642877193386677,-0.0031947788687861707,0.016365734222481176,0.005845189274173546,0.6750000000000002,0.009232312361802598,0.006107191916869281,493,1.0,False,0.9444444444444444,0.10619469097890051
03D1co,SNLS,1611,12,0.67773,23.9721,0.310626,1.0,36.5677,-4.9351,,False,False,True,0.009583512686071225,2.471559120539174e-05,0.002916734537884212,-0.002892018946678821,0.011075423769495739,0.00019863755267718677,0.6750000000000002,0.009558797094865833,0.006335974946308833,493,1.0,False,0.9542670477746019,0.29119694392426015
05D1ke,SNLS,1615,12,0.68872,23.5607,0.224893,1.0,36.6929,-4.8625,,False,False,True,0.00458140429344325,-0.005216721921869342,-0.0018883231185355125,-0.003328398803333832,0.007762173269376958,0.011743322842713951,0.6750000000000002,0.009798126215312591,0.006462361178498936,493,1.0,False,0.9603796945934792,-0.1622352907335506
04D1si,SNLS,1626,12,0.7007,23.664,0.221555,1.0,36.2033,-4.569,,False,False,True,0.0016395310383582643,-0.008419483517532328,-0.004413868173144775,-0.004005615344387553,0.005086458829154192,0.018787740681865388,0.7250000000000002,0.010059014555890592,0.006600132521687058,493,1.0,False,0.9542697153523099,-0.08866391329691772
1331993,DES,1632,12,0.71968,23.9108,0.202759,1.0,35.9718,-4.4593,,False,False,True,0.004961513246700888,-0.005510828579988572,-0.002271405414758177,-0.0032394231652303953,0.006192601348910885,0.012464660716492772,0.7250000000000002,0.01047234182668946,0.006818404649709641,493,1.0,False,0.9624413145539906,0.08818900097102564
04D1aj,SNLS,1633,12,0.71969,23.717,0.34116,1.0,36.4748,-4.9946,,False,False,True,0.02278816013985726,0.012315600543267484,0.012033911984925627,0.00028168855834185495,0.03579076334285297,-0.028186624439624716,0.7250000000000002,0.010472559596589775,0.006818519650830835,493,1.0,False,0.9392931392931393,-0.10564738265549614
1304127,DES,1638,12,0.72866,23.752,0.282209,1.0,35.1805,-6.9511,,False,False,True,0.009761615037344608,-0.0009044698632995011,0.0025199036825699532,-0.0034243735458694535,0.011896398601019927,0.002282662547037087,0.7250000000000002,0.010666084900644109,0.006925736474666065,493,1.0,False,0.0,-0.10308920666074975
04D1pp,SNLS,1641,12,0.73368,23.7315,0.194032,1.0,36.302,-4.7016,,False,False,True,0.012206184769922322,0.0014332678406788462,0.0008685459597467093,0.0005647218809321352,0.01080788855136381,-0.0028151264642350925,0.7250000000000002,0.010772916929243476,0.006989036793513281,493,1.0,False,0.9307974335472043,-0.14157769879149576
05D1eo,SNLS,1644,12,0.73568,23.9277,0.255688,1.0,36.3464,-4.6427,,False,False,True,0.013476097057332236,0.0026606175668937946,-0.005348309513470468,0.008008927080364263,0.018311912617609654,-0.0057584423503122435,0.7250000000000002,0.010815479490438441,0.00701425604405002,493,1.0,False,0.9425022999080037,0.04748856990149783
05D1if,SNLS,1657,12,0.76165,23.878,0.238347,1.0,36.1239,-4.5703,,False,False,True,0.006338525669189834,-0.005029628678365253,-0.0006110216963215306,-0.004418606982043724,0.007989752898972231,0.011468018526408887,0.7750000000000002,0.011368154347555087,0.007341728012269578,493,1.0,False,0.947539461467038,-0.05018984211964218
04D1qd,SNLS,1658,12,0.76566,23.9839,0.223812,1.0,36.6378,-4.1072,,False,False,True,0.011769961949869265,0.0003164696671182701,-0.005219253438554017,0.005535723105672287,0.02695737404551872,-0.0009771933263396718,0.7750000000000002,0.011453492282750995,0.007392292609595739,493,1.0,False,0.8678485092667204,0.04193089301355789
04D1de,SNLS,1659,12,0.76666,24.1694,0.2487,1.0,36.6496,-4.4226,,False,False,True,0.012937881175804588,0.00146310761245611,0.00251502521768198,-0.0010519176052258715,0.010457360366846543,-0.002820446446194575,0.7750000000000002,0.011474773563348478,0.007404902234864109,493,1.0,False,0.9769681742043551,0.22400553081791663
04D1pc,SNLS,1662,12,0.76865,24.0399,0.310504,1.0,36.6037,-4.3994,,False,False,True,0.006790603957420976,-0.004726519354316496,-0.0011313486054038624,-0.003595170748912634,0.01056069216696472,0.010757652380232007,0.7750000000000002,0.011517123311737472,0.007429995389148165,493,1.0,False,0.9890350877192983,0.08770188796380728
04D1ks,SNLS,1669,12,0.79662,23.6496,0.371115,1.0,36.0396,-4.9787,,False,False,True,0.011049398760692306,-0.0010585880659203135,-0.004306093428201593,0.003247505362281279,0.010736176784144114,0.0027694660367496918,0.7750000000000002,0.01210798682661262,0.007806142617792559,493,1.0,False,0.9365148861646234,-0.396463217007308
03D1fq,SNLS,1670,12,0.79863,24.1808,0.286876,1.0,36.7319,-4.3022,,False,False,True,0.009174019442045505,-0.0029763361190718804,-0.002210701703924003,-0.0007656344151478773,0.02151270293035839,0.0065793577404818365,0.7750000000000002,0.012150355561117385,0.007833668657453169,493,1.0,False,0.9786212914485166,0.12811487066914118
SCP05D0,SNAP,1676,12,1.01242,24.8647,0.36609,1.0,35.4253,-3.3648,,False,True,True,0.012218537544675084,-0.004385021273851014,0.0020169210795308173,-0.006401942353381827,0.015601452702919051,0.010352671685571295,1.0250000000000004,0.0166035588185261,0.010396324385577208,493,1.0,False,0.0,0.0
SCP05D6,SNAP,1687,12,1.31317,25.5337,0.315195,1.0,35.4437,-3.3823,,False,True,True,0.026236887774192797,0.004284795104430205,-0.005186607091694842,0.009471402196125044,0.013402367636580344,-0.008157508882050996,1.3250000000000006,0.021952092669762592,0.014135025783530378,493,1.0,False,0.0,-0.04112993716813659
100405,PS1MD,744,3,0.10294,18.9285,0.184283,1.0,53.6285,-27.3206,,False,False,True,2.7652296007099507e-05,-0.0005011032665632501,-0.0004061462574142554,-9.495700914899477e-05,0.00028139885968045175,0.0010934513955411257,0.125,0.0005287555625703497,0.00030637785910545923,498,1.0,False,0.8062654575432812,-0.11665309993505328
090275,PS1MD,804,3,0.13955,19.7683,0.143245,1.0,54.0721,-28.0515,,False,False,True,0.0006537439715484811,-6.14806365010675e-05,-0.0005012903004839741,0.00043980966398290684,6.6038703593755e-05,0.0001311351725126976,0.125,0.0007152246080495486,0.0004210116487941908,498,1.0,False,0.9645075421472937,0.013902114589001436
440008,PS1MD,816,3,0.14652,19.905,0.185624,1.0,52.6735,-28.8632,,False,False,True,0.0032676581809206267,0.002463107851428465,-0.0005204513620270187,0.002983559213455484,0.00023672702519354633,-0.005364917943402978,0.125,0.0008045503294921614,0.0004759255672911295,498,1.0,False,0.9830004249893752,0.03582060355475765
1316385,DES,817,3,0.14737,19.7624,0.19564,1.0,53.526,-27.6321,,False,False,True,8.26151076859852e-05,-0.0007328286024699095,-0.0005533578733770035,-0.00017947072909290577,7.992607000759089e-05,0.0016026936077610963,0.125,0.0008154437101558947,0.00048262238662002445,498,1.0,False,0.9778270509977827,-0.12042508180838833
1299775,DES,843,3,0.16004,19.7898,0.269298,1.0,53.4389,-29.6767,,False,False,True,0.00038087559330140727,-0.0005969435674538994,-0.0005088794175209879,-8.80641499329113e-05,0.000785002553723082,0.001310616217080103,0.17500000000000004,0.0009778191607553066,0.0005824443876754352,498,1.0,False,0.0,-0.24302541645674408
1303279,DES,863,3,0.1727,20.0146,0.149932,1.0,54.9068,-27.813,,False,False,True,0.00015436229892600305,-0.0009857041550091427,-0.0006437590271990425,-0.0003419451278101001,0.0005072584775998665,0.0021587036803054085,0.17500000000000004,0.0011400664539351457,0.0006821876026210944,498,1.0,False,0.0,-0.19925557478899775
1347120,DES,884,3,0.17952,20.2979,0.279272,1.0,52.8899,-28.9121,,False,False,True,0.001473882120260554,0.0002452496146594062,0.0003144081952900252,-6.915858063061861e-05,0.0010034854411410236,-0.0005180171102251584,0.17500000000000004,0.0012286325056011479,0.000749967353508894,498,1.0,False,0.9912510936132983,-0.008404402493033251
1303496,DES,886,3,0.17975,20.3432,0.207177,1.0,53.8482,-29.5918,,False,False,True,0.0006419008399701433,-0.0005897384497875863,-0.0007720692254732962,0.0001823307756857102,0.002502171327979548,0.00129356773323293,0.17500000000000004,0.0012316392897577296,0.0007524942467607363,498,1.0,False,0.0,0.03383524054475901
1339392,DES,896,3,0.18145,20.1423,0.233619,1.0,54.1245,-28.5698,,False,False,True,0.000273142597037405,-0.0009807207495298445,-0.000687269133516133,-0.00029345161601371125,0.00017057990855648463,0.0021511158914893956,0.17500000000000004,0.0012538633465672495,0.0007711712838395732,498,1.0,False,0.9484251968503937,-0.1895722862353662
440643,PS1MD,921,3,0.18952,20.5094,0.237114,1.0,53.6036,-26.7739,,False,False,True,0.00019625638370186993,-0.0011631058678376297,-0.0007399295736279102,-0.00042317629420971924,0.000830354656644452,0.0025493565999003603,0.17500000000000004,0.0013593622515394995,0.0008598322775020513,498,1.0,False,0.0,0.07329236938490341
1253920,DES,929,3,0.19553,20.4581,0.154272,1.0,54.6293,-27.0428,,False,False,True,0.00103564459422337,-0.00040228623462507953,5.046368424917744e-05,-0.00045274991887425653,0.0009908293407543895,0.0008977211816766735,0.17500000000000004,0.0014379308288484495,0.0009258610968219392,498,1.0,False,0.0,-0.052984591109476446
1302058,DES,938,3,0.19782,20.239,0.187234,1.0,53.3964,-29.1906,,False,False,True,0.00032427538116944996,-0.0011435925594988818,-0.0007659035080969476,-0.00037768905140193415,0.0012543472410622303,0.002507242255427373,0.17500000000000004,0.0014678679406683317,0.0009510201644163721,498,1.0,False,0.2993258426966292,-0.30009031451563756
