CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN2004gc,CSP,80.458125,6.676028,0.03213569218404544,11.0,35.533780614454855,0.1526493112437518,1.0,False,False
SN2004gs,CSP,129.596583,17.627722,0.0275953516382077,11.0,35.5655472557896,0.1534210656739621,1.0,False,False
SN2005M,CSP,144.3848248333333,23.200680555555557,0.023003460793009967,11.0,35.18512356928567,0.16185647800390357,1.0,False,False
SN2005ag,CSP,224.181875,9.328472,0.08040249329161941,11.0,37.70420096311279,0.12891141344049592,1.0,False,False
SN2005al,CSP,207.501375,-30.576167,0.013304157542830541,11.0,34.06428260502648,0.21607361815509665,1.0,False,False
SN2005bg,CSP,184.321583,16.371556,0.02421446115810233,11.0,35.08594702830478,0.15890389976959374,1.0,False,False
SN2005bo,CSP,192.420958,-11.096472,0.015042899939327059,11.0,34.033571968323024,0.1945214582151723,1.0,False,False
SN2005el,CSP,77.95305,5.194248722222222,0.014821224996401188,11.0,34.14726431028953,0.19894336771997537,1.0,False,False
SN2005eq,CSP,47.205556083333335,-7.033325,0.028394172370179615,10.58,35.54382694328722,0.15080952621464427,1.0,False,False
SN2005hc,CSP,29.19978091666667,-0.21372244444444444,0.044966776805399726,10.71,36.58906163492866,0.135409377943191,1.0,False,False
SN2005hj,CSP,21.70153079166667,-1.238102222222222,0.056368635722001986,11.0,37.04265551787088,0.13180273810483556,1.0,False,False
SN2005iq,CSP,359.63525433333336,-18.709162666666668,0.032968048059430474,10.34,35.975284417598594,0.14626834385911516,1.0,False,False
SN2005ir,CSP,19.182459083333335,0.7946259166666667,0.07504391857286372,10.14,37.63581924685496,0.12811375331181768,1.0,False,False
SN2005kc,CSP,338.5305165,5.568380722222223,0.01381547036613982,10.97,34.1314951473934,0.21400221973355324,1.0,False,False
SN2005ki,CSP,160.11758108333333,9.202306777777778,0.02070007190348159,11.15,34.68542080178419,0.16793480925667842,1.0,False,False
SN2005ku,CSP,344.92753500000003,-0.013711999999999998,0.04404328656098988,11.0,36.41797698841955,0.13779851551420763,1.0,False,False
SN2005mc,CSP,126.77632708333334,21.64614027777778,0.026080913726228776,10.95,35.41614390429192,0.15709126434791632,1.0,False,False
SN2005na,CSP,105.40266441666668,14.133118055555556,0.026841012691447563,11.0,35.25155307113682,0.15708642258708114,1.0,False,False
SN2006ax,CSP,171.01435850000001,-12.291488666666666,0.017987972183699512,10.81,34.394474798602666,0.18351909267593033,1.0,False,False
SN2006bh,CSP,340.067083,-66.485083,0.010548841020519895,11.0,33.37861027272813,0.25022824317595405,1.0,False,False
SN2006bt,CSP,239.12719983333332,20.04592238888889,0.03250808360355541,11.09,35.63793655900441,0.1439619604804803,1.0,False,False
SN2006ef,CSP,31.08133141666667,-8.728430611111111,0.017005088485119835,10.7,34.55340871879135,0.18396621639491875,1.0,False,False
SN2006ej,CSP,9.749129333333332,-9.01583738888889,0.019202885517919155,11.0,34.754140716958766,0.17729652642057006,1.0,False,False
SN2006eq,CSP,322.154697,1.2281505,0.04829172203560827,11.0,36.77627616313847,0.13663830797278534,1.0,False,False
SN2006et,CSP,10.690831416666667,-23.558360888888892,0.021276414387798703,11.0,34.76756972899499,0.17170607970366916,1.0,False,False
SN2006ev,CSP,322.74706058333334,13.989236,0.027576770263993522,11.0,35.768542816231616,0.15453471601145344,1.0,False,False
SN2006fw,CSP,26.793083,-0.146982,0.08250420748560444,11.0,37.908770851750894,0.12846762347564725,1.0,False,False
SN2006gj,CSP,49.398996,-1.6917193333333334,0.02772501569688221,11.96,35.75518369229416,0.15432866148565186,1.0,False,False
SN2006is,CSP,79.39321233333334,-23.781787388888887,0.031356783101901486,11.0,35.66524422367302,0.15070967233120916,1.0,False,False
SN2006kf,CSP,55.460316500000005,8.156934499999998,0.02080051633475114,10.97,34.919565616089486,0.17651153052528967,1.0,False,False
SN2006lu,CSP,138.823458,-25.600083,0.05448778028735202,11.0,36.9136331381089,0.136328716692395,1.0,False,False
SN2006ob,CSP,27.95055304166667,0.2633755277777778,0.057899772611269454,10.83,37.114422838462126,0.13225156474450994,1.0,False,False
SN2006ot,CSP,33.7700835,-20.766273777777776,0.05219265247599325,11.0,36.64793107945416,0.13476805385748925,1.0,False,False
SN2006py,CSP,340.425202,-0.136911,0.05659603883230971,11.0,36.93924443229159,0.13345359489638373,1.0,False,False
SN2007A,CSP,6.319460583333333,12.886844666666667,0.01650963008274886,11.0,34.54903483066111,0.18814485154288585,1.0,False,False
SN2007ai,CSP,243.2239168333333,-21.630176166666665,0.032029383762188446,11.0,35.878642904092025,0.1608313151226585,1.0,False,False
SN2007as,CSP,141.900042,-80.177556,0.017942386327459703,11.0,34.366783920068144,0.1825687971712646,1.0,False,False
SN2007bc,CSP,169.81069983333333,20.808994555555557,0.02190439377875074,10.76,34.81387382958528,0.16378955926756447,1.0,False,False
SN2007bd,CSP,127.88886475,-1.1994067222222222,0.031967945224726554,10.76,35.678907147994856,0.14774811692214043,1.0,False,False
SN2007ca,CSP,202.77427066666667,-15.101822055555555,0.015182068142425346,11.0,34.514774529036565,0.19827463910122828,1.0,False,False
SN2007hj,CSP,345.449521,15.58647638888889,0.012883410496650094,11.0,34.012983918955165,0.22313678552963795,1.0,False,False
SN2007hx,CSP,31.612828999999998,-0.899539,0.07846497323707481,11.0,38.05979842764377,0.12893438762759715,1.0,False,False
SN2007jd,CSP,44.9723745,1.1607145,0.07191539269771274,11.0,37.59100899725322,0.12979777819634972,1.0,False,False
SN2007jg,CSP,52.461733291666675,0.056827111111111106,0.03653527500528353,11.0,36.30084951749128,0.1425049067993978,1.0,False,False
SN2007jh,CSP,54.006409,1.103377,0.04024905208449467,9.29,36.57440585878277,0.1422901687680232,1.0,False,False
SN2007nq,CSP,14.390189583333335,-1.3887902222222221,0.043854809057105815,11.0,36.33921386578715,0.13639301333641765,1.0,False,False
SN2007st,CSP,27.176958,-48.649389,0.020672933673671512,11.0,34.47618451314566,0.17237219160700387,1.0,False,False
SN2007ux,CSP,152.33316458333334,14.992481722222223,0.032038186251572176,11.0,35.84284954453731,0.14673108634322343,1.0,False,False
SN2008C,CSP,104.29791475,20.437122277777775,0.017103552409409084,11.0,34.33327127413769,0.18992342741521007,1.0,False,False
