CID,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
e140,0.6047733454614017,1.0747133391184399e-07,5.200945711644092e-07,4.429937290823557e-06,8.235639251387176e-06,3.7656258555047375e-08
e147,0.6397501084702362,5.58316446374569e-07,4.883937556783017e-06,2.4457868493284242e-08,3.3242408048267106e-08,4.5114224393541395e-08
e148,0.4259144641010712,2.128843726837518e-07,1.1691770866772283e-06,6.38164500789628e-10,5.032733592014394e-10,1.1932833378593044e-08
e149,0.4898672055770905,1.158147550647795e-05,2.376489393319688e-05,9.480230133463792e-10,1.621529469690211e-09,1.8714862787905073e-08
f244,0.5427960046880207,5.1812798395716426e-08,1.065677844923976e-07,6.664224602700802e-09,4.393622865562989e-09,2.5951063810602506e-08
g160,0.5058550491284619,1.3738671555881132e-08,5.467131798535275e-08,2.002035150989817e-09,2.6096637354322383e-09,2.0390652182852426e-08
h300,0.6547441215317171,6.543539184227399e-08,5.3367987015816737e-08,3.434944115818896e-07,4.75616893989139e-07,4.9368200669693166e-08
h323,0.5967725637580008,2.442239544454782e-06,5.102232566052747e-06,3.421379206660839e-08,3.9893127738951e-08,3.632953936474753e-08
h364,0.3429694543852561,3.6619809357229186e-08,3.486411383244351e-07,7.808641642878982e-09,2.951914220209942e-09,5.537731620333135e-09
k429,0.1710880850435077,7.13928218296918e-14,2.553024253554269e-07,5.385203842719604e-13,6.338615743603758e-13,2.3039791207520055e-10
k441,0.6697199856552165,4.8024816264028146e-08,8.331930421016245e-08,3.201340659478473e-07,1.1054244987865302e-06,5.3808308270341127e-08
k467,0.6057705876858441,9.453804097188176e-07,7.663767941382207e-06,3.401029450577886e-10,4.2235033453954757e-10,3.78232925678962e-08
k490,0.7146824472790898,3.251962219428192e-06,1.1220471947194752e-05,1.5241972368230538e-07,6.345819329088671e-07,6.065166178970313e-08
m039,0.2470291006506064,1.233181437765973e-09,5.46041257830567e-08,5.085006791118417e-10,7.174145957237654e-10,1.5064018731935216e-09
m087,0.286031958012283,8.521898017858697e-06,1.330705719049862e-05,3.0590815220324324e-08,7.749517020603882e-08,2.697455869642494e-09
m193,0.3289694799768823,1.230148094444568e-09,1.8000058248756204e-08,8.120187939957404e-08,5.9587481064224375e-08,4.785163135324732e-09
n256,0.629732238569312,1.1913132781837456e-06,3.1985293172059856e-06,2.584815822657239e-06,2.2640831542778875e-06,4.2378824192255775e-08
n322,0.7686405709344031,8.378334805875724e-08,5.552091771735017e-07,5.507335335597918e-05,5.997131219894273e-05,7.56074169899647e-08
n404,0.2840252995979999,1.044789275099548e-09,1.250507902349885e-09,1.2786952139101275e-09,1.69354811022177e-09,2.6138574816910093e-09
