region,ra,dec,radius_deg,n_sn,z_max,process
131,349.89924539470655,-1.1813735133255507,0.22503017313950402,2,0.299222,True
132,335.81435799999997,0.2530359999999999,4.969616689786745e-17,1,0.256719,True
133,329.9559100000001,-1.193712,5.087783078641794e-14,1,0.102877,False
134,335.261036,-0.748159,0.0,1,0.21353,True
135,304.900784993512,-1.0200933200882096,0.11698081135618577,2,0.13868,True
136,309.682777,-0.474529,0.0,1,0.146065,False
137,316.765564,0.72307,0.0,1,0.168171,False
138,323.694195,1.175912,0.0,1,0.120422,False
139,6.778766622170175,-0.06701346199056116,0.33007688596747636,4,0.24555,True
140,41.78614000000001,0.775128,6.3605272626199346e-15,1,0.188911,False
141,330.3628167684031,0.8806265437270846,0.19629380449544911,2,0.203078,True
142,345.024939,0.53767,0.0,1,0.179152,False
143,312.86441798626555,0.33818293040775815,0.24606912256689722,2,0.305691,True
144,20.37621258666051,0.19986503044714338,0.21698510835787732,2,0.216737,True
145,341.63643539989926,0.5860934263456917,0.18369241795927826,2,0.30041,True
146,359.818734,-1.250384,0.0,1,0.26451,True
147,327.39912400000003,0.001078,0.0,1,0.278064,True
148,13.769669502304874,-0.3198372671922558,0.10120410480570943,2,0.246425,True
149,321.347252,-1.033669,0.0,1,0.292073,True
150,347.9954388552528,0.3857706712107634,0.2063126399879964,2,0.309382,True
151,9.931934968819597,-0.12640902212815056,0.2363914049392565,2,0.236702,True
152,325.821457507503,0.8554498691969723,0.23248880589865634,2,0.353459,True
153,331.100487,0.6912139999999999,9.93923337957349e-17,1,0.213384,True
154,345.46009257579965,-0.928790739212193,0.24694027819253245,2,0.2682,True
155,20.834614286790995,1.027453129204607,0.271841083392235,3,0.260698,True
156,317.588081,0.93262,0.0,1,0.225337,True
157,350.69157400000006,0.5328830000000001,5.0886771030418526e-14,1,0.14729,False
158,27.564822999999997,-0.887272,3.1801733237982733e-15,1,0.156533,False
159,39.141291188770865,-0.9303990768147482,0.13683003926099008,2,0.366275,True
160,318.198563,0.9163480000000002,0.0,1,0.144777,False
161,53.594646,-1.1232100000000003,1.987846675914698e-16,1,0.132428,False
162,336.833286,1.0309710000000003,1.987846675914698e-16,1,0.14882,False
163,48.111714486725646,-0.5820230639865829,0.18833321746026754,2,0.278216,True
164,332.00022487613757,-1.079632421940401,0.22074216459756574,4,0.380475,True
165,31.829882,1.252084,0.0,1,0.173997,False
166,49.049294,-0.600944,0.0,1,0.180366,False
167,319.0138709890282,0.6053908077411397,0.07378398382711392,2,0.136869,True
168,336.716299,0.506056,0.0,1,0.105887,False
169,342.11101,-0.435268,0.0,1,0.329309,True
170,308.194954,0.9270689999999999,0.0,1,0.177886,False
171,314.89504999999997,1.2232569999999998,1.987846675914698e-16,1,0.260699,True
172,343.551104,1.050661,0.0,1,0.327932,True
173,313.686594043812,-0.2761430208708104,0.5616344882286725,5,0.402588,True
174,54.2771,0.00936,0.0,1,0.118447,False
175,55.156366112583264,1.0378439485942614,0.4169638881839093,4,0.245403,True
176,329.700233,0.19768599999999997,2.4848083448933725e-17,1,0.153037,False
177,22.634209,0.219801,0.0,1,0.380037,True
178,35.842915,0.819003,0.0,1,0.248522,True
179,58.058578000000004,0.2920690000000001,4.969616689786745e-17,1,0.394414,True
180,2.8533770000000005,0.7027439999999999,8.012672675301381e-16,1,0.198005,False
181,316.642422,-0.647952,0.0,1,0.215128,True
182,51.008998657108805,0.8445015968091378,0.2189443755532002,2,0.210825,True
183,35.2123614826011,0.4223946898711006,0.09181341489866034,2,0.303942,True
184,22.249808999999996,0.769949,3.180267507548419e-15,1,0.360616,True
185,32.798561,0.69583,0.0,1,0.291073,True
186,5.3130714574317635,1.0495877604900425,0.482758923680397,3,0.294479,True
187,354.556658,1.24909,0.0,1,0.186507,False
188,33.7416,0.602507,0.0,1,0.184428,False
189,55.561080999999994,0.478286,6.3608877319723064e-15,1,0.159347,False
190,319.668304,-1.024288,0.0,1,0.173734,False
191,326.847485,-0.494677,0.0,1,0.184813,False
192,340.701414,-0.9017510000000001,0.0,1,0.125419,False
193,53.019138,-0.100142,0.0,1,0.306322,True
194,39.72066900000001,0.090127,6.361101493060944e-15,1,0.261294,True
195,27.168976,-0.576611,0.0,1,0.133526,False
196,14.879632999999998,-0.25651300000000005,9.93923337957349e-17,1,0.219346,True
197,37.534674492545655,1.1272471650348221,0.34281683389199813,3,1.057,True
198,32.88828323492423,-0.9553440036994263,0.07282179126899195,2,0.315818,True
199,36.72249600000001,-0.32781,6.361005250921459e-15,1,0.20548,True
200,341.246075,-1.0065979999999999,1.987846675914698e-16,1,0.126879,False
201,0.37483399999999995,0.27597399999999994,7.02805855942331e-17,1,0.385038,True
202,21.117622000000004,0.074385,3.1805520010717224e-15,1,0.388571,True
203,30.53636108186835,-1.0608006176813582,0.10400532375332561,2,0.193921,True
